PathfinderMode: 0
LeftPercent,RightPercent,LeftEncoder,RightEncoder,Gyro,X,Y,HeadingError
0.943585,1.06098,-6382,-12694,29.0958,0.434885,1.8215,-0.118208
0.946109,1.05759,-6333,-12639,29.336,0.455738,1.83322,-0.115077
0.948589,1.05423,-6284,-12585,29.5636,0.476534,1.84501,-0.111927
0.951021,1.05139,-6235,-12531,29.7798,0.497282,1.85689,-0.108489
0.953434,1.04857,-6186,-12477,29.9848,0.517984,1.86883,-0.105545
0.955823,1.04578,-6137,-12423,30.1786,0.53864,1.88084,-0.102777
0.958183,1.04301,-6088,-12369,30.3613,0.559254,1.89292,-0.099917
0.960512,1.04028,-6038,-12315,30.5332,0.579827,1.90505,-0.0967369
0.962341,1.03758,-5988,-12262,30.6952,0.600357,1.91724,-0.0930463
0.964165,1.03534,-5938,-12209,30.8486,0.62085,1.92948,-0.0896928
0.966012,1.03309,-5888,-12156,30.9931,0.641308,1.94177,-0.0874201
0.967872,1.03082,-5838,-12103,31.1287,0.661733,1.9541,-0.0858743
0.969741,1.02855,-5788,-12050,31.2554,0.682126,1.96648,-0.0847523
0.971614,1.02627,-5738,-11997,31.3732,0.70249,1.9789,-0.0837951
0.973486,1.02399,-5688,-11944,31.482,0.722826,1.99135,-0.0827814
0.975355,1.02172,-5638,-11891,31.5818,0.743136,2.00384,-0.0815228
0.977218,1.01945,-5588,-11838,31.6728,0.763422,2.01635,-0.0798589
0.979075,1.01718,-5538,-11786,31.7549,0.783686,2.02889,-0.0776536
0.980924,1.0154,-5487,-11734,31.8292,0.803934,2.04146,-0.0747915
0.982328,1.01359,-5436,-11682,31.8965,0.824164,2.05405,-0.0721825
0.98378,1.01173,-5385,-11630,31.9567,0.844376,2.06666,-0.0706212
0.985273,1.00983,-5334,-11578,32.0096,0.864572,2.07929,-0.069795
0.986802,1.00789,-5283,-11526,32.0551,0.884754,2.09192,-0.0694333
0.988361,1.00593,-5232,-11474,32.0929,0.904924,2.10457,-0.0693028
0.989948,1.00393,-5181,-11422,32.123,0.925083,2.11723,-0.0692018
0.99156,1.00192,-5130,-11370,32.1453,0.945233,2.12989,-0.0689559
0.993194,0.999875,-5079,-11318,32.1597,0.965375,2.14256,-0.0684147
0.994849,0.997814,-5028,-11267,32.1661,0.985512,2.15522,-0.0674479
0.996523,0.9962,-4977,-11216,32.1654,1.00565,2.16789,-0.0659429
0.998248,0.994537,-4926,-11165,32.1574,1.02579,2.18055,-0.0648092
1.00002,0.992828,-4874,-11114,32.1419,1.04593,2.19321,-0.0638318
1.00136,0.991076,-4822,-11063,32.1198,1.06608,2.20585,-0.0628236
1.00278,0.989253,-4770,-11012,32.0906,1.08623,2.21849,-0.0626286
1.00426,0.987364,-4718,-10961,32.0542,1.10638,2.2311,-0.0629741
1.00581,0.985415,-4666,-10910,32.0103,1.12654,2.24371,-0.0636219
1.00741,0.983408,-4614,-10859,31.9586,1.1467,2.25628,-0.0643637
1.00906,0.981345,-4562,-10808,31.8989,1.16687,2.26884,-0.0650172
1.01077,0.979228,-4510,-10757,31.8309,1.18706,2.28137,-0.0654221
1.01254,0.977059,-4458,-10707,31.7545,1.20725,2.29387,-0.0654373
1.01435,0.975304,-4406,-10657,31.6704,1.22747,2.30634,-0.064938
1.01625,0.973467,-4354,-10607,31.5782,1.2477,2.31878,-0.064821
1.01823,0.971549,-4302,-10557,31.4777,1.26796,2.33118,-0.0648573
1.02029,0.969553,-4249,-10507,31.3684,1.28825,2.34355,-0.064845
1.02195,0.967481,-4196,-10457,31.251,1.30855,2.35587,-0.0646054
1.02372,0.965301,-4143,-10407,31.1251,1.32888,2.36814,-0.0649871
1.0256,0.963019,-4090,-10357,30.9903,1.34923,2.38037,-0.0657182
1.02758,0.960635,-4037,-10307,30.8461,1.3696,2.39254,-0.0665582
1.02965,0.958152,-3984,-10258,30.6921,1.39001,2.40465,-0.0672936
1.03183,0.956037,-3931,-10209,30.5288,1.41045,2.4167,-0.0677342
1.03414,0.953792,-3878,-10160,30.3557,1.43093,2.4287,-0.0687168
1.03657,0.951418,-3825,-10111,30.1723,1.45145,2.44063,-0.0699578
1.03913,0.948918,-3771,-10062,29.9779,1.47201,2.45248,-0.0712045
1.04135,0.94629,-3717,-10013,29.7731,1.4926,2.46427,-0.0722312
1.04374,0.943503,-3663,-9964,29.5572,1.51324,2.47597,-0.0738423
1.04627,0.940559,-3609,-9915,29.3294,1.53392,2.48759,-0.0757242
1.04897,0.937457,-3555,-9867,29.0892,1.55464,2.49912,-0.0775964
1.05182,0.934664,-3501,-9819,28.8368,1.57541,2.51056,-0.0792072
1.05487,0.931679,-3447,-9771,28.5714,1.59624,2.5219,-0.0813362
1.05811,0.928502,-3392,-9723,28.2922,1.61712,2.53314,-0.0836462
1.06107,0.925131,-3337,-9675,27.9993,1.63806,2.54427,-0.0858343
1.06426,0.921532,-3282,-9627,27.6919,1.65905,2.55529,-0.0886337
1.06768,0.917705,-3227,-9580,27.3688,1.6801,2.56618,-0.0916648
1.07134,0.914112,-3172,-9533,27.0301,1.70121,2.57695,-0.0945857
1.07526,0.910253,-3117,-9486,26.6746,1.72239,2.5876,-0.0980935
1.07945,0.906122,-3061,-9439,26.3012,1.74364,2.5981,-0.101775
1.08345,0.901715,-3005,-9392,25.9097,1.76496,2.60845,-0.105256
1.08776,0.896994,-2949,-9346,25.4987,1.78635,2.61865,-0.109203
1.0924,0.892421,-2893,-9300,25.0679,1.80781,2.62869,-0.113173
1.09739,0.88749,-2836,-9254,24.6157,1.82935,2.63856,-0.117771
1.10228,0.882193,-2779,-9208,24.1416,1.85097,2.64825,-0.122496
1.10757,0.87649,-2722,-9163,23.6437,1.87267,2.65775,-0.127901
1.11328,0.87084,-2665,-9118,23.1214,1.89445,2.66705,-0.133437
1.11945,0.864734,-2607,-9073,22.5727,1.91632,2.67614,-0.139613
1.12562,0.85816,-2549,-9029,21.9965,1.93828,2.68501,-0.145838
1.1323,0.85154,-2491,-8985,21.3917,1.96033,2.69365,-0.152577
1.13953,0.844364,-2432,-8941,20.7558,1.98248,2.70205,-0.160207
1.14687,0.836617,-2373,-8898,20.0874,2.00472,2.71018,-0.168017
1.15483,0.828721,-2314,-8855,19.3848,2.02706,2.71804,-0.176362
1.16345,0.82016,-2254,-8813,18.6453,2.04949,2.72561,-0.185512
1.17228,0.811386,-2194,-8771,17.8678,2.07203,2.73287,-0.194654
1.18188,0.801851,-2133,-8730,17.0491,2.09467,2.73982,-0.20505
1.19178,0.792008,-2072,-8689,16.1879,2.11742,2.74642,-0.215734
1.20253,0.781313,-2010,-8649,15.2804,2.14026,2.75266,-0.227826
1.21368,0.77022,-1948,-8609,14.3251,2.16321,2.75852,-0.240225
1.22577,0.758189,-1885,-8570,13.3177,2.18626,2.76398,-0.25392
1.23834,0.745682,-1821,-8531,12.2564,2.2094,2.76901,-0.267683
1.25144,0.732167,-1757,-8493,11.1377,2.23264,2.77358,-0.282375
1.26558,0.718089,-1692,-8456,9.95824,2.25596,2.77768,-0.297646
1.28029,0.703433,-1626,-8420,8.7155,2.27937,2.78126,-0.313085
1.29561,0.688168,-1559,-8384,7.40687,2.30286,2.78432,-0.329226
1.31155,0.671814,-1492,-8349,6.02866,2.3264,2.7868,-0.346405
1.32854,0.65488,-1424,-8315,4.57738,2.35,2.78869,-0.363764
1.34605,0.637431,-1355,-8282,3.05079,2.37365,2.78995,-0.380397
1.364,0.61953,-1285,-8250,1.44696,2.39732,2.79055,-0.396354
1.38231,0.601278,-1214,-8219,-0.235629,2.421,2.79045,-0.411496
1.40082,0.582817,-1142,-8189,-1.99787,2.44467,2.78963,-0.425514
1.41935,0.564336,-1069,-8160,-3.83986,2.4683,2.78804,-0.437953
1.43767,0.546072,-995,-8132,-5.76064,2.49186,2.78567,-0.448235
1.45548,0.52831,-920,-8105,-7.75808,2.51532,2.78247,-0.455699
1.47247,0.511377,-844,-8078,-9.82858,2.53866,2.77843,-0.459654
1.48826,0.495172,-768,-8052,-11.968,2.56182,2.77352,-0.459431
1.5029,0.480585,-691,-8027,-14.1704,2.58478,2.76772,-0.453458
1.51549,0.468042,-613,-8003,-16.4269,2.60749,2.76102,-0.440475
1.52566,0.457924,-535,-7979,-18.7272,2.62992,2.75342,-0.420615
1.53353,0.450109,-456,-7956,-21.0612,2.65202,2.74491,-0.394337
1.53828,0.445415,-377,-7933,-23.4156,2.67375,2.7355,-0.360489
1.54018,0.443574,-298,-7910,-25.778,2.69508,2.7252,-0.320651
1.53906,0.444753,-219,-7887,-28.1355,2.71596,2.71403,-0.274828
1.53486,0.449004,-140,-7864,-30.4748,2.73637,2.70202,-0.223719
1.52766,0.456267,-61,-7840,-32.7829,2.75628,2.6892,-0.168624
1.51761,0.465911,16,-7816,-35.0486,2.77567,2.6756,-0.11133
1.50587,0.47818,92,-7791,-37.2626,2.79452,2.66126,-0.0529645
1.49224,0.492344,168,-7765,-39.4167,2.81282,2.64621,0.00602516
1.47656,0.508088,243,-7739,-41.5031,2.83057,2.63051,0.0648903
1.45967,0.525509,317,-7712,-43.5156,2.84775,2.6142,0.121735
1.44195,0.543769,390,-7684,-45.4506,2.86438,2.5973,0.174786
1.42371,0.562543,462,-7655,-47.3058,2.88046,2.57987,0.223478
1.40525,0.581535,533,-7625,-49.0803,2.896,2.56195,0.267373
1.38684,0.600479,603,-7594,-50.7744,2.911,2.54357,0.306201
1.3687,0.619154,672,-7562,-52.3892,2.92548,2.52477,0.339876
1.35101,0.637373,740,-7529,-53.9266,2.93946,2.50559,0.368502
1.33392,0.654993,808,-7495,-55.3892,2.95295,2.48605,0.39235
1.31708,0.671904,875,-7460,-56.7791,2.96595,2.46618,0.411845
1.30105,0.687997,941,-7424,-58.0998,2.9785,2.44602,0.426527
1.28589,0.703226,1006,-7388,-59.3551,2.99061,2.42559,0.437174
1.27161,0.718033,1070,-7351,-60.5477,3.00229,2.40491,0.444619
1.25826,0.731913,1134,-7313,-61.6816,3.01356,2.384,0.448725
1.24536,0.744878,1197,-7274,-62.7598,3.02443,2.36287,0.450507
1.23338,0.756918,1259,-7235,-63.7862,3.03493,2.34156,0.44996
1.2223,0.768533,1321,-7195,-64.7638,3.04506,2.32006,0.44819
1.21163,0.779264,1382,-7155,-65.6953,3.05484,2.2984,0.445248
1.20184,0.789591,1443,-7114,-66.5834,3.06429,2.27658,0.441261
1.19242,0.799067,1503,-7073,-67.4308,3.07341,2.25463,0.436415
1.18384,0.808182,1563,-7031,-68.2401,3.08223,2.23254,0.430939
1.17559,0.816492,1623,-6989,-69.0137,3.09075,2.21034,0.425095
1.16765,0.824493,1682,-6946,-69.753,3.09898,2.18802,0.419164
1.16049,0.831713,1741,-6903,-70.4612,3.10693,2.16561,0.412435
1.15359,0.83868,1799,-6860,-71.1397,3.11462,2.1431,0.406346
1.14741,0.845391,1857,-6816,-71.7903,3.12205,2.12051,0.40018
1.14145,0.851408,1915,-6772,-72.4151,3.12924,2.09783,0.394354
1.1357,0.857226,1972,-6728,-73.0151,3.13619,2.07507,0.389268
1.13061,0.862841,2029,-6683,-73.5919,3.14291,2.05224,0.384294
1.1257,0.867816,2086,-6638,-74.1475,3.14942,2.02935,0.379922
1.12093,0.872645,2143,-6593,-74.6824,3.1557,2.0064,0.376607
1.11631,0.877323,2200,-6548,-75.1972,3.16178,1.98339,0.373763
1.11185,0.881848,2256,-6502,-75.6927,3.16766,1.96032,0.370901
1.10801,0.885751,2312,-6456,-76.1715,3.17335,1.93721,0.36762
1.10426,0.889561,2368,-6410,-76.634,3.17886,1.91406,0.365604
1.10061,0.89327,2424,-6364,-77.0807,3.18418,1.89085,0.364326
1.09707,0.896876,2480,-6318,-77.512,3.18933,1.86761,0.363341
1.09363,0.900374,2535,-6272,-77.9283,3.1943,1.84434,0.362283
1.09077,0.903764,2590,-6225,-78.3312,3.19912,1.82102,0.360845
1.08799,0.906608,2645,-6178,-78.7219,3.20378,1.79767,0.359784
1.08526,0.9094,2700,-6131,-79.1008,3.20828,1.77428,0.359772
1.08258,0.912134,2755,-6084,-79.468,3.21263,1.75087,0.3604
1.07997,0.914804,2810,-6037,-79.8238,3.21684,1.72743,0.361325
1.07743,0.917409,2865,-5990,-80.1686,3.2209,1.70397,0.362258
1.07496,0.919944,2919,-5943,-80.5025,3.22483,1.68048,0.362961
1.07302,0.922409,2973,-5895,-80.827,3.22863,1.65696,0.363233
1.07113,0.924366,3027,-5847,-81.1431,3.2323,1.63342,0.36392
1.06924,0.926307,3081,-5799,-81.4511,3.23584,1.60987,0.365766
1.06739,0.928227,3135,-5751,-81.7509,3.23926,1.58629,0.36842
1.06555,0.93012,3189,-5703,-82.0426,3.24256,1.56269,0.371585
1.06376,0.93198,3243,-5655,-82.3265,3.24574,1.53908,0.37501
1.06199,0.933805,3297,-5607,-82.6027,3.24881,1.51545,0.378485
1.06027,0.935591,3351,-5559,-82.8713,3.25176,1.49181,0.381832
1.05858,0.937338,3405,-5511,-83.1325,3.25461,1.46816,0.384904
1.05694,0.939042,3458,-5463,-83.3865,3.25736,1.44449,0.38758
1.05581,0.940704,3511,-5414,-83.6344,3.26,1.4208,0.389758
1.05468,0.941885,3564,-5365,-83.8774,3.26254,1.3971,0.392366
1.05355,0.94308,3617,-5316,-84.1154,3.26499,1.37339,0.396214
1.05241,0.94428,3670,-5267,-84.3484,3.26733,1.34967,0.401006
1.05127,0.945481,3723,-5218,-84.5763,3.26959,1.32594,0.406491
1.05014,0.946676,3776,-5169,-84.7992,3.27175,1.3022,0.412454
1.04901,0.947862,3829,-5120,-85.0171,3.27382,1.27845,0.418711
1.0479,0.949035,3882,-5071,-85.2301,3.2758,1.25469,0.425107
1.04681,0.950192,3935,-5022,-85.4382,3.2777,1.23093,0.431513
1.04573,0.951332,3988,-4973,-85.6416,3.27951,1.20716,0.437817
1.04467,0.952453,4041,-4924,-85.8402,3.28124,1.18338,0.443928
1.04363,0.953553,4094,-4875,-86.0343,3.28289,1.15959,0.449769
1.04261,0.954631,4147,-4826,-86.2238,3.28446,1.1358,0.455276
1.04162,0.955686,4200,-4777,-86.409,3.28595,1.112,0.460399
1.04065,0.956718,4253,-4728,-86.5898,3.28737,1.0882,0.465094
1.0397,0.957727,4306,-4679,-86.7664,3.28871,1.06439,0.469327
1.03844,0.958404,4359,-4630,-86.9388,3.28999,1.04059,0.473127
1.03621,0.958143,4411,-4581,-87.107,3.29119,1.01681,0.476562
1.03313,0.956623,4463,-4532,-87.2718,3.29232,0.993085,0.479631
1.02868,0.953844,4515,-4483,-87.433,3.29338,0.969442,0.483285
1.02285,0.949769,4567,-4434,-87.5904,3.29437,0.945913,0.487345
1.0156,0.944361,4618,-4385,-87.7439,3.29529,0.922534,0.491655
1.00738,0.937586,4669,-4337,-87.8943,3.29614,0.89933,0.496078
0.997676,0.929909,4719,-4289,-88.0403,3.29693,0.876332,0.501503
0.986956,0.920792,4769,-4241,-88.1828,3.29765,0.853569,0.506691
0.974698,0.910235,4818,-4194,-88.3217,3.29831,0.831076,0.512575
0.961348,0.898668,4867,-4148,-88.4567,3.29891,0.808879,0.518961
0.946414,0.886058,4915,-4102,-88.5867,3.29945,0.78701,0.525683
0.930369,0.871871,4962,-4057,-88.7128,3.29993,0.7655,0.531587
0.913156,0.856576,5008,-4013,-88.8346,3.30036,0.744378,0.537684
0.894748,0.84014,5053,-3970,-88.9523,3.30074,0.72367,0.543847
0.875119,0.822529,5097,-3927,-89.0656,3.30107,0.703406,0.549966
0.854245,0.803244,5140,-3885,-89.1755,3.30136,0.683621,0.555946
0.832066,0.782752,5182,-3845,-89.2817,3.3016,0.664345,0.562711
0.808562,0.761483,5223,-3806,-89.3831,3.3018,0.645603,0.570061
0.783736,0.738907,5263,-3768,-89.4797,3.30196,0.627426,0.576811
0.757561,0.714993,5301,-3731,-89.5714,3.3021,0.609847,0.582941
0.730474,0.689713,5338,-3695,-89.6592,3.3022,0.592893,0.58843
0.701949,0.663067,5373,-3661,-89.743,3.30227,0.576598,0.594271
0.672428,0.635489,5407,-3628,-89.8226,3.30232,0.560984,0.600318
0.641749,0.606793,5439,-3597,-89.8979,3.30234,0.546079,0.60641
0.611006,0.57803,5470,-3567,-89.9689,3.30235,0.531884,0.612374
0.580039,0.549021,5499,-3538,-90.0357,3.30234,0.518406,0.618102
0.549316,0.519766,5527,-3511,-90.0994,3.30232,0.505643,0.623536
0.51834,0.490763,5553,-3485,-90.1588,3.30229,0.493596,0.629635
0.487613,0.461508,5577,-3461,-90.215,3.30225,0.482266,0.635222
0.457104,0.432503,5600,-3438,-90.268,3.3022,0.471646,0.641289
0.426347,0.403274,5621,-3417,-90.3177,3.30214,0.461742,0.647693
0.395814,0.374288,5641,-3397,-90.3641,3.30208,0.452549,0.654311
0.365039,0.345074,5659,-3379,-90.4071,3.30202,0.444072,0.661038
0.334823,0.316412,5676,-3362,-90.4468,3.30196,0.436297,0.667749
0.30535,0.28845,5691,-3347,-90.4832,3.3019,0.429209,0.674308
0.277426,0.261975,5705,-3333,-90.5165,3.30184,0.42277,0.680634
0.250613,0.236546,5717,-3320,-90.5468,3.30179,0.416954,0.686691
0.225407,0.212194,5728,-3309,-90.5752,3.30174,0.411731,0.692451
0.20134,0.189445,5738,-3299,-90.6009,3.30169,0.407066,0.698903
0.178476,0.167827,5747,-3290,-90.6238,3.30164,0.402932,0.704893
0.156845,0.147369,5755,-3282,-90.6442,3.3016,0.3993,0.710429
0.136474,0.128101,5761,-3275,-90.6623,3.30156,0.396142,0.71552
0.11786,0.110052,5767,-3269,-90.6791,3.30153,0.393421,0.720178
0.100067,0.0932823,5772,-3264,-90.6937,3.3015,0.391113,0.725421
0.0836252,0.0777873,5776,-3260,-90.7063,3.30148,0.389186,0.730126
0.0685639,0.0635967,5779,-3256,-90.717,3.30146,0.387609,0.734326
0.0549114,0.0502729,5781,-3253,-90.727,3.30144,0.386353,0.738051
0.0426662,0.0383434,5783,-3251,-90.7363,3.30143,0.385386,0.742337
0.0313935,0.0278341,5784,-3249,-90.7439,3.30142,0.384679,0.747083
0.0216234,0.0182734,5785,-3248,-90.7512,3.30142,0.384203,0.751196
0.0128862,0.0101894,5785,-3247,-90.757,3.30141,0.383928,0.755742
0.00571171,0.00311091,5785,-3246,-90.7626,3.30141,0.383822,0.759636
-0.000369933,-0.00290127,5784,-3246,-90.768,3.30141,0.383861,0.763954
-0.00485921,-0.00735301,5783,-3246,-90.7734,3.30141,0.384007,0.768625
-0.0081921,-0.0106851,5782,-3246,-90.7788,3.30142,0.384232,0.773591
-0.0103371,-0.0128701,5781,-3246,-90.7842,3.30142,0.384509,0.778807
-0.0112633,-0.0138809,5780,-3246,-90.7899,3.30143,0.38481,0.784233
-0.0112704,-0.0140029,5779,-3246,-90.7958,3.30143,0.385111,0.789872
-0.0238728,0.0238728,5777,-3244,-90.6929,3.30143,0.385111,0.795759
-0.020787,0.020787,5775,-3242,-90.6033,3.30143,0.385111,0.692899
-0.0181001,0.0181001,5774,-3241,-90.5253,3.30143,0.385111,0.603336
-0.0157605,0.0157605,5773,-3240,-90.4574,3.30143,0.385111,0.525349
-0.0137233,0.0137233,5772,-3239,-90.3983,3.30143,0.385111,0.457443
-0.0119494,0.0119494,5771,-3238,-90.3468,3.30143,0.385111,0.398314
-0.0104048,0.0104048,5770,-3237,-90.302,3.30143,0.385111,0.346828
-0.00905993,0.00905993,5769,-3236,-90.263,3.30143,0.385111,0.301998
-0.00788885,0.00788885,5768,-3235,-90.229,3.30143,0.385111,0.262962
-0.00686914,0.00686914,5767,-3234,-90.1994,3.30143,0.385111,0.228971
-0.00598124,0.00598124,5766,-3233,-90.1736,3.30143,0.385111,0.199375
-0.00520811,0.00520811,5765,-3232,-90.1512,3.30143,0.385111,0.173604
-0.00453491,0.00453491,5764,-3231,-90.1316,3.30143,0.385111,0.151164
-0.00394873,0.00394873,5763,-3230,-90.1146,3.30143,0.385111,0.131624
-0.00343832,0.00343832,5762,-3229,-90.0998,3.30143,0.385111,0.114611
-0.00299389,0.00299389,5761,-3228,-90.0869,3.30143,0.385111,0.0997962
-0.0026069,0.0026069,5760,-3227,-90.0757,3.30143,0.385111,0.0868967
-0.00226993,0.00226993,5759,-3226,-90.0659,3.30143,0.385111,0.0756645
-0.00197652,0.00197652,5758,-3225,-90.0574,3.30143,0.385111,0.0658841
-0.00172104,0.00172104,5757,-3224,-90.05,3.30143,0.385111,0.057368
